사건,접수번호,품목,사람이지목한기준,사람이지목한절,시스템순위,시스템조항,판정
"5561","(25)18","모발건조기","KC 60335-1","15","","","못찾음"
"5561","(25)18","모발건조기","KC 60335-2-23","15","","","못찾음"
"5561","(25)18","모발건조기","KC 60335-1","16","","","못찾음"
"5561","(25)18","모발건조기","KC 60335-2-23","16","","","못찾음"
"5562","(25)19","전기요","KC 60335-2-17","11","12","11.4","찾음(11.4=12위)"
"5562","(25)19","전기요","KC 60335-2-17","19","9","19.113","찾음(19.113=9위)"
"5563","(25)20","유아용 섬유제품","안전확인 부속서 6(완구)","4.13.1","","","못찾음"
"5563","(25)20","유아용 섬유제품","안전확인 부속서 6(완구)","4.13.2","","","못찾음"
"5564","(25)22","완구","안전확인 부속서 6(완구)","4.6.1","12","4.6.1","찾음(4.6.1=12위)"
"5564","(25)22","완구","안전확인 부속서 6(완구)","4.6.3","","","못찾음"
"5564","(25)22","완구","안전확인 부속서 6(완구)","4.6.4","","","못찾음"
"5564","(25)22","완구","안전확인 부속서 6(완구)","4.7.1","5","4.7.1.3","찾음(4.7.1.3=5위)"
"5564","(25)22","완구","안전확인 부속서 6(완구)","4.2","","","못찾음"
"5565","(25)24","전기자전거","안전확인 부속서 40(이륜자전거)","6.11.1","","","못찾음"
"5565","(25)24","전기자전거","안전확인 부속서 40(이륜자전거)","6.11.2","","","못찾음"
"5565","(25)24","전기자전거","안전확인 부속서 40(이륜자전거)","6.11.3","","","못찾음"
